GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
Valencia Drive Current Calibration,VCAL#FWHM_0_8A#get wave FWHM,get wave FWHM while driver DUT with 0.8A pulse,spec_get_fwhm,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#CENT_WL_0_8A#get wave length,get wave length while driver DUT with 0.8A pulse,spec_wave_length,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#ADIP_RAWDATA_0_8A#Raw Data,capture center wavelength of first 10 pulses(10 values),get_rawdata_path,5000,SPEC,,,,,,
Valencia Drive Current Calibration,VCAL#WL_DATA_CNT_0_8A#get WL_LEN,spectrometer reading times,piam_pwrdata,5000,WAVE_COUNT,,n,,,,
Valencia Drive Current Calibration,VCAL#WL_LEN_0_8A#get WL_LEN,data count from one spectrometer reading,get_count,5000,2048,,,,,,
Valencia Drive Current Calibration,Drive DUT with 10 0.7A pulses,Drive DUT with 10 0.7A pulses,drivedutwithpulse,50000,0.7,PRE,,,,,
Valencia Drive Current Calibration,VCAL#PEAK_OPWR_0_7A#get peak power,get peak power while driver DUT with 0.7A pulse,piam_pwrdata,5000,ALLPEAK,,mW,495,505,,
Valencia Drive Current Calibration,VCAL#VF_0_7A#get forward voltage,get forward voltage while driver DUT with 0.7A pulse,piam_pwrdata,5000,PULSEVOLT,,V,,,,
Valencia Drive Current Calibration,VCAL#IF_0_7A#get forward current,get forward current while driver DUT with 0.7A pilse,piam_pwrdata,5000,PULSECURR,,A,,,,
Valencia Drive Current Calibration,VCAL#FWHM_0_7A#get wave FWHM,get wave FWHM while driver DUT with 0.7A pulse,spec_get_fwhm,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#CENT_WL_0_7A#get wave length,get wave length while driver DUT with 0.7A pulse,spec_wave_length,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#ADIP_RAWDATA_0_7A#Raw Data,capture center wavelength of first 10 pulses(10 values),get_rawdata_path,5000,SPEC,,,,,,
Valencia Drive Current Calibration,VCAL#WL_DATA_CNT_0_7A#get WL_LEN,spectrometer reading times,piam_pwrdata,5000,WAVE_COUNT,,n,,,,
Valencia Drive Current Calibration,VCAL#WL_LEN_0_7A#get WL_LEN,data count from one spectrometer reading,get_count,5000,2048,,,,,,
Valencia Drive Current Calibration,Drive DUT with 10 0.6A pulses,Drive DUT with 10 0.6A pulses,drivedutwithpulse,50000,0.6,PRE,,,,,
Valencia Drive Current Calibration,VCAL#PEAK_OPWR_0_6A#get peak power,get peak power while driver DUT with 0.6A pulse,piam_pwrdata,5000,ALLPEAK,,mW,495,505,,
Valencia Drive Current Calibration,VCAL#VF_0_6A#get forward voltage,get forward voltage while driver DUT with 0.6A pulse,piam_pwrdata,5000,PULSEVOLT,,V,,,,
Valencia Drive Current Calibration,VCAL#IF_0_6A#get forward current,get forward current while driver DUT with 0.6A pilse,piam_pwrdata,5000,PULSECURR,,A,,,,
Valencia Drive Current Calibration,VCAL#FWHM_0_6A#get wave FWHM,get wave FWHM while driver DUT with 0.6A pulse,spec_get_fwhm,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#CENT_WL_0_6A#get wave length,get wave length while driver DUT with 0.6A pulse,spec_wave_length,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#ADIP_RAWDATA_0_6A#Raw Data,capture center wavelength of first 10 pulses(10 values),get_rawdata_path,5000,SPEC,,,,,,
Valencia Drive Current Calibration,VCAL#WL_DATA_CNT_0_6A#get WL_LEN,spectrometer reading times,piam_pwrdata,5000,WAVE_COUNT,,n,,,,
Valencia Drive Current Calibration,VCAL#WL_LEN_0_6A#get WL_LEN,data count from one spectrometer reading,get_count,5000,2048,,,,,,
Valencia Drive Current Calibration,calculate calibrate current,calculate calibrate current,calculate_ical,5000,,{{I_CAL}},,,,,
Valencia Drive Current Calibration,Drive DUT with 10 calibrate current pulses,Drive DUT with 10 calibrate current pulses,drivedutwithpulse,50000,[[I_CAL]],PRE,,0.5,1,,
Valencia Drive Current Calibration,VCAL#PEAK_OPWR_ICAL#get peak power,get peak power while driver DUT with calibrate current pulse,piam_pwrdata,5000,ALLPEAK,,mW,495,505,,
Valencia Drive Current Calibration,VCAL#VF_CAL#get forward voltage,get forward voltage while driver DUT with calibrate current pulse,piam_pwrdata,5000,PULSEVOLT,,V,,,,
Valencia Drive Current Calibration,VCAL#IF_CAL#get forward current,get forward current while driver DUT with calibrate current pilse,piam_pwrdata,5000,PULSECURR,,A,,,,
Valencia Drive Current Calibration,VCAL#FWHM_CAL#get wave FWHM,get wave FWHM while driver DUT with calibrate current pulse,spec_get_fwhm,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#CENT_CAL#get wave length,get wave length while driver DUT with calibrate current pulse,spec_wave_length,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#ADIP_RAWDATA_CAL#Raw Data,capture center wavelength of first 10 pulses(10 values),get_rawdata_path,5000,SPEC,,,,,,
Valencia Drive Current Calibration,VCAL#WL_DATA_CNT_CAL#get WL_LEN,spectrometer reading times,piam_pwrdata,5000,WAVE_COUNT,,n,,,,
Valencia Drive Current Calibration,VCAL#WL_LEN_CAL#get WL_LEN,data count from one spectrometer reading,get_count,5000,2048,,,,,,
Valencia Drive Current Calibration,VCAL#SEND#Send Data,Send VCAL,uploadmtcp,45000,VCAL,,,,,,
Valencia Drive Current Calibration,Power Off,Power off SMU,smu_power_off,5000,,,,,,,
Calypso NVM Data Write Check,Get Calypso NVM Write Content,Get Calypso NVM Write Content,mtcp_request_nvm,15000,DPWR,,,,,,
Calypso NVM Data Write Check,Write Calypso NVM Register,Write NVM Register byte by byte with the register and data retrieved from Yogi NVM Write Data Request Response Packet (Sec. TBD),arm_write_nvm,10000,DOOPLER,,,,,,
Calypso NVM Data Write Check,DPWC#NVM_DATA#Read NVM Register,read DPWC#NVM_DATA#,arm_i2c_read_nvm,1000,DOOPLER,,,,,,
Calypso NVM Data Write Check,DPWC#SEND#Send Calypso NVM,read DPWC#NVM_DATA#,uploadmtcp,45000,DPWC,,,,,,
Power Off,TSED#SEND#Send Data,Send TSED,uploadmtcp,45000,TSED,,,,,,
Power Off,reset SMU2,reset smu,smu_power_off,10000,,,,,,,
Power Off,Power Off SMU,All I/O set to 0 Bit26=1,arm_reset,10000,,,,,,,
Power Off,Turn Off TEC,Turn Off TEC before this test. DUT need to be tested as Cold Start,tec_stop,10000,,,,,,,
