GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
Flood Performance Test,read device ID low byte,Prase Device ID Low byte,arm_i2c_read,5000,CH1*0x33*0x01*1,,,,,,
Flood Performance Test,Set Yogi R37=0X80,Go to Standby Mode_NVM_LOOK_AHEAD,set_yogi_data,5000,CH1*0x33*0x37*1,0x80,,,,,
Flood Performance Test,Set Yogi R30=0X30,Go to Standby Mode_NVM_TEST_EN,set_yogi_data,5000,CH1*0x33*0x30*1,0xc0,,,,,
Flood Performance Test,Set Yogi R39=0X1F,Go to Standby Mode_NVM_TEST_EN,set_yogi_data,5000,CH1*0x33*0x39*1,0x1f,,,,,
Flood Performance Test,Set Yogi R1F=0XFF,Go to Standby Mode_NVM_TEST_EN,set_yogi_data,5000,CH1*0x33*0x1f*1,0xff,,,,,
Flood Performance Test,Set Yogi R38=0X80,Go to Actice Mode,set_yogi_data,5000,CH1*0x33*0x38*1,0x80,,,,,
Flood Performance Test,Wait 1.7s For Yogi To Wake up,Wait 1.7s for Yogi to Wake up,delay,5000,1700,,ms,,,,
Flood Performance Test,Pull STATUS Pin HIGH,Pull STATUS_PIN High to enable Yogi,set_dut_status,10000,HIGH,,,,,,
Flood Performance Test,Set TEC to 25 C,Set TEC to 25 C,tec_set_temp,10000,25,,,0,0,,
Flood Performance Test,Turn On TEC,Turn On TEC,tec_start,10000,,,ms,,,,
Flood Performance Test,Read NTC,Read NTC from DUT,tec_get_temp,5000,1,,C,24,26,,
Flood Performance Test,Request Settle Time and Drive Current for Steady State,send Valencia Calibrated Current Request Packet to Apple Test SW,mtcp_send_vdcr,15000,VDCR,,,,,,
Flood Performance Test,get Settle Time for Steady State,get Settle time,mtcp_vdcr_data,15000,TIME,,s,,,,
Flood Performance Test,get Drive Current for Steady State,get Calibrated Current,mtcp_vdcr_data,10000,CURRENT,,A,0,1,,
Flood Performance Test,Power On,power on,smu_output_curr,10000,VCAL_CHECK,1000,,,,,
Flood Performance Test,FLDP#NTC_STEADY_STATE#Wait DUT Steady,Wait DUT Steady,wait_dut_steady,20000,,,C,24,26,,
Flood Performance Test,CONNECT,CONNECT,connect,25000,,,,,,,
Flood Performance Test,SNready,SNReady,snready,25000,,,,,,,
Flood Performance Test,Version,Show Version,version,25000,,,,,,,
Flood Performance Test,Parameter,Parameter,parameter,25000,0.5,,,,,,
Flood Performance Test,MoveTo_Position1,MoveTo_Position1,skip,10000,,,,,,,
Flood Performance Test,Postion1_Capture,Postion1_Capture,capture_position1,10000,,,,,,,
Flood Performance Test,MoveTo_Position2,MoveTo_Position2,moveto_position2,10000,,,,,,,
Flood Performance Test,Postion2_Capture,Postion2_Capture,capture_position2,10000,,,,,,,
Flood Performance Test,MoveTo_Position3,MoveTo_Position3,moveto_position3,10000,,,,,,,
Flood Performance Test,Postion3_Capture,Postion3_Capture,capture_position3,30000,,,,,,,
Flood Performance Test,Measure,Measure Volt_Curr,measure_volcurr,10000,,,,,,,
Flood Performance Test,Power Off,power off,smu_power_off,10000,,,,,,,
Flood Performance Test,OutPut_Volt,,output_data,5000,volt,,,,,,
Flood Performance Test,Output_Curr,,output_data,5000,curr,,,,,,
Flood Performance Test,LFNU_LF_1,lfnu LF,lfnu,25000,,,percentage,,,,
Flood Performance Test,LFNU_Mean_1,lfnu Mean,output_data,10000,L_Mean,,W,,,,
Flood Performance Test,LFNU_Max_1,lfnu Max,output_data,10000,L_Max,,W,,,,
Flood Performance Test,LFNU_Min_1,lfnu Min,output_data,10000,L_Min,,W,,,,
Flood Performance Test,Picture_Path,Picture_Path,picture_path,25000,,,,,,,
Flood Performance Test,FFCImagePath,FFCImagePath,ffcimagepath,5000,,,,,,,
Flood Performance Test,FFCPara,FFCPara,ffcpara,25000,,,W/gray.ms.Pixel,,,,
Flood Performance Test,Width,Width,width,25000,,,,,,,
Flood Performance Test,Height,Height,height,25000,,,,,,,
Flood Performance Test,CalibrateX,Calibratex,calibratex,25000,,,,,,,
Flood Performance Test,CalibrateY,Calibratey,calibratey,25000,,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_0,index,output_data,5000,INDEX,0,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_0,width,output_data,5000,WIDTH,0,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_0,Height,output_data,5000,HEIGHT,0,,,,,
Flood Performance Test,FLDI#POS_X#X_0,pos_x,output_data,5000,X,0,,,,,
Flood Performance Test,FLDI#POS_Y#Y_0,pos_y,output_data,5000,Y,0,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_0,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,0,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_0,Picture,sendpath,5000,0,,,,,,
Flood Performance Test,FLDI#FLAT_DATA#Para_0,Para,sendpara,5000,0,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_0,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_1,index,output_data,5000,INDEX,1,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_1,width,output_data,5000,WIDTH,1,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_1,Height,output_data,5000,HEIGHT,1,,,,,
Flood Performance Test,FLDI#POS_X#X_1,pos_x,output_data,5000,X,1,,,,,
Flood Performance Test,FLDI#POS_Y#Y_1,pos_y,output_data,5000,Y,1,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_1,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,1,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_1,Picture,sendpath,5000,1,,,,,,
Flood Performance Test,FLDI#FLAT_DATA#Para_1,Para,sendpara,5000,1,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_1,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_2,index,output_data,5000,INDEX,2,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_2,width,output_data,5000,WIDTH,2,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_2,Height,output_data,5000,HEIGHT,2,,,,,
Flood Performance Test,FLDI#POS_X#X_2,pos_x,output_data,5000,X,2,,,,,
Flood Performance Test,FLDI#POS_Y#Y_2,pos_y,output_data,5000,Y,2,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_2,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,2,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_2,Picture,sendpath,5000,2,,,,,,
Flood Performance Test,FLDI#FLAT_DATA#Para_2,Para,sendpara,5000,2,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_2,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_3,index,output_data,5000,INDEX,3,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_3,width,output_data,5000,WIDTH,3,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_3,Height,output_data,5000,HEIGHT,3,,,,,
Flood Performance Test,FLDI#POS_X#X_3,pos_x,output_data,5000,X,3,,,,,
Flood Performance Test,FLDI#POS_Y#Y_3,pos_y,output_data,5000,Y,3,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_3,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,3,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_3,Picture,sendpath,5000,3,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_3,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_4,index,output_data,5000,INDEX,4,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_4,width,output_data,5000,WIDTH,4,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_4,Height,output_data,5000,HEIGHT,4,,,,,
Flood Performance Test,FLDI#POS_X#X_4,pos_x,output_data,5000,X,4,,,,,
Flood Performance Test,FLDI#POS_Y#Y_4,pos_y,output_data,5000,Y,4,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_4,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,4,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_4,Picture,sendpath,5000,4,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_4,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_5,index,output_data,5000,INDEX,5,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_5,width,output_data,5000,WIDTH,5,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_5,Height,output_data,5000,HEIGHT,5,,,,,
Flood Performance Test,FLDI#POS_X#X_5,pos_x,output_data,5000,X,5,,,,,
Flood Performance Test,FLDI#POS_Y#Y_5,pos_y,output_data,5000,Y,5,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_5,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,5,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_5,Picture,sendpath,5000,5,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_5,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_6,index,output_data,5000,INDEX,6,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_6,width,output_data,5000,WIDTH,6,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_6,Height,output_data,5000,HEIGHT,6,,,,,
Flood Performance Test,FLDI#POS_X#X_6,pos_x,output_data,5000,X,6,,,,,
Flood Performance Test,FLDI#POS_Y#Y_6,pos_y,output_data,5000,Y,6,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_6,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,6,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_6,Picture,sendpath,5000,6,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_6,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_7,index,output_data,5000,INDEX,7,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_7,width,output_data,5000,WIDTH,7,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_7,Height,output_data,5000,HEIGHT,7,,,,,
Flood Performance Test,FLDI#POS_X#X_7,pos_x,output_data,5000,X,7,,,,,
Flood Performance Test,FLDI#POS_Y#Y_7,pos_y,output_data,5000,Y,7,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_7,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,7,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_7,Picture,sendpath,5000,7,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_7,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDI#IMG_INDEX#INDEX_8,index,output_data,5000,INDEX,8,,,,,
Flood Performance Test,FLDI#IMG_WIDTH#WIDTH_8,width,output_data,5000,WIDTH,8,,,,,
Flood Performance Test,FLDI#IMG_HEIGHT#HEIGHT_8,Height,output_data,5000,HEIGHT,8,,,,,
Flood Performance Test,FLDI#POS_X#X_8,pos_x,output_data,5000,X,8,,,,,
Flood Performance Test,FLDI#POS_Y#Y_8,pos_y,output_data,5000,Y,8,,,,,
Flood Performance Test,FLDI#POWER_TO_PIXEL_RATIO#PTPR_8,POWER_TO_PIXEL_RATIO,output_data,5000,PTPR,8,,,,,
Flood Performance Test,FLDI#IMAGE_DATA#Picture_8,Picture,sendpath,5000,8,,,,,,
Flood Performance Test,FLDI#SEND#End Fldi_8,End Fldi,uploadmtcp,45000,FLDI,,,,,,
Flood Performance Test,FLDP#FORWARD_I#Curr,,getpulsevoltcurr,5000,PulseCurr,10,,,,,
Flood Performance Test,FLDP#FORWARD_V#Volt,,getpulsevoltcurr,5000,PulseVolt,10,,,,,
Flood Performance Test,FLDP#SOCKET_DCR#SOCKET_DCR,SOCKET_DCR,get_dcr,1000,,,mohm,,,,
Flood Performance Test,FLDP#LFNU_P_C#t_LF,lfnu LF,output_data,10000,L_LF,,PECT,,,,
Flood Performance Test,FLDP#OPTICAL_POWER_AVG#t_Mean,lfnu Mean,output_data,10000,L_Mean,,W,,,,
Flood Performance Test,FLDP#OPTICAL_POWER_MAX#t_Max,lfnu Max,output_data,10000,L_Max,,W,,,,
Flood Performance Test,FLDP#OPTICAL_POWER_MIN#t_Min,lfnu Min,output_data,10000,L_Min,,W,,,,
Flood Performance Test,FLDP#HFNU#hfnu,hfnu Mean,hfnu,25000,,,PECT,40,50,,
Flood Performance Test,FLDP#IMG_CNT#img_cnt,img_cnt,output_data,5000,IMG_CNT,,,,,,
Flood Performance Test,FLDP#SCREEN_REFLECTANCE#SCREEN_REFLECTANCE,SCREEN_REFLECTANCE,feflectionfactor,25000,,,,,,,
Flood Performance Test,hfnu Max,hfnu Max,output_data,10000,H_Max,,PECT,,,,
Flood Performance Test,hfnu Min,hfnu Min,output_data,10000,H_Min,,PECT,10,14,,
Flood Performance Test,FLDP#POWER_EFFICIENCY#ope,ope,ope,25000,,,PECT,0,0.05,,
Flood Performance Test,FLDP#POWER_IN_FOV#Total Power,Total Power,tp,25000,,,mW,,,,
Flood Performance Test,FLDP#SEND#End Fldp,End Fldp,uploadmtcp,45000,FLDP,,,,,,
Eye Safte Test,CTES#OPTICAL_POWER#Total Power,Total Power,output_data,10000,TP,,W,0,0.1,,
Eye Safte Test,CTES#IMG_CNT#img_cnt,img_cnt,output_data,5000,IMG_CNT,,,,,,
Eye Safte Test,CTES#AE_POWER#ae,ae energy,ae,10000,,,W,0,0.02,,
Eye Safte Test,CTES#SCREEN_REFLECTANCE#SCREEN_REFLECTANCE,SCREEN_REFLECTANCE,feflectionfactor,5000,,,,,,,
Eye Safte Test,CTES#HOT_SPOT_THETA#ae,ae theta,output_data,10000,theta,,Radian,,,,
Eye Safte Test,CTES#HOT_SPOT_PHI#ae,ae phi,output_data,10000,phi,,Radian,,,,
Eye Safte Test,CTES#SEND#End Tsed,End Tsed,uploadmtcp,45000,CTES,,,,,,
Power Off,TSED#SEND#Send Data,Send TSED,uploadmtcp,45000,TSED,,,,,,
Power Off,Discon_REQ_Cam,Discon_REQ_Cam,disconnect,,,,,,,,
Power Off,Power Off ARM,power off arm,arm_reset,10000,,,,,,,
Power Off,Power Off TEC,Power Off tec,tec_stop,5000,,,,,,,
Power Off,remove pictures,remove pictures,removepic,10000,,,,,,,
